Name,Longitude,Latitude,Elevation
T 216,-80.5727777778,37.815,
T 217,-80.5375,37.8702777778,
T 228,-80.475,38.0708333333,
T 229,-80.7252777778,38.0244444444,
T 230,-80.5011111111,37.9663888889,
T 232,-80.4041666667,38.0177777778,
T 233,-80.6008333333,38.1133333333,
T 236,-80.7844444444,38.0802777778,
T 238,-80.4933333333,38.1366666667,
T 243,-80.4902777778,38.1272222222,
T 323,-80.3061111111,38.0538888889,
T 325,-80.5141666667,37.7452777778,
U 214,-80.6519444444,37.9347222222,
U 216,-80.5838888889,37.8155555556,
U 229,-80.7280555556,38.0330555556,
U 232,-80.4191666667,38.0155555556,
U 236,-80.7938888889,38.0847222222,
U 238,-80.5013888889,38.1438888889,
U 243,-80.4902777778,38.1308333333,
U 325,-80.5241666667,37.7522222222,
V 214,-80.6555555556,37.9488888889,
V 216,-80.5944444444,37.8144444444,
V 227,-80.6194444444,38.1225,
V 229,-80.7266666667,38.0411111111,
V 232,-80.4338888889,38.0155555556,
V 233,-80.6133333333,38.125,
V 236,-80.8013888889,38.0880555556,
V 238,-80.5102777778,38.1547222222,
V 249,-80.3772222222,38.0722222222,
V 325,-80.5369444444,37.755,
W 214,-80.6658333333,37.9530555556,
W 215,-80.48,37.8236111111,
W 216,-80.6097222222,37.8183333333,
W 227,-80.6269444444,38.1313888889,
W 229,-80.7213888889,38.0513888889,
W 231,-80.4480555556,37.9447222222,
W 232,-80.4677777778,38.0166666667,
W 238,-80.5052777778,38.1597222222,
W 242,-80.3733333333,38.2027777778,
W 249,-80.3741666667,38.0802777778,
W 323,-80.3625,38.0044444444,
W 325,-80.5458333333,37.7533333333,
X 214,-80.6833333333,37.9583333333,
X 216,-80.6147222222,37.8230555556,
X 217,-80.6052777778,37.8341666667,
X 229,-80.7108333333,38.0547222222,
X 231,-80.4558333333,37.9605555556,
X 232,-80.6366666667,37.9377777778,
X 236,-80.8836111111,38.0752777778,
X 238,-80.5077777778,38.1666666667,
X 242,-80.3877777778,38.2091666667,
X 243,-80.4752777778,38.0655555556,
X 249,-80.3736111111,38.0927777778,
